Temperature,Frequency
36.5 ,383.0460K
36.6 ,383.7680K
36.7 ,384.5710K
36.8 ,385.3260K
36.9 ,386.1840K
37.0 ,387.0760K
37.1 ,387.7850K
37.2 ,388.6430K
37.3 ,389.4230K
37.4 ,390.3350K
37.5 ,391.0850K
37.6 ,391.9800K
37.7 ,392.8360K
37.8 ,393.6910K
37.9 ,394.1440K
38.0 ,395.2740K
38.1 ,396.0220K
38.2 ,396.9480K
38.3 ,397.8440K
38.4 ,398.7290K
38.5 ,399.4540K
38.6 ,400.4370K
38.7 ,401.3800K
38.8 ,402.2100K
38.9 ,403.2540K
39.0 ,404.1040K
39.1 ,405.0910K
39.2 ,405.9740K
39.3 ,406.8550K
39.4 ,407.9530K
39.5 ,408.9530K
39.6 ,409.8700K
39.7 ,410.7340K
39.8 ,411.8930K
39.9 ,412.9130K
40.0 ,413.9100K
40.1 ,414.8450K
40.2 ,415.6430K
40.3 ,416.8410K
40.4 ,417.9150K
40.5 ,418.8520K
40.6 ,419.6510K
40.7 ,420.7580K
40.8 ,421.6700K
40.9 ,422.9640K
41.0 ,423.9020K
41.1 ,425.1980K
41.2 ,426.1780K
41.3 ,427.1540K
41.4 ,428.3510K
41.5 ,429.4860K
41.6 ,430.5280K
41.7 ,431.5990K
41.8 ,432.7740K
41.9 ,433.7780K
42.0 ,430.8900K
42.1 ,434.4650K
42.2 ,435.2300K
42.3 ,438.3080K
42.4 ,439.5930K
42.5 ,440.8050K
42.6 ,442.0460K
42.7 ,443.3370K
42.8 ,444.3130K
42.9 ,445.7210K
43.0 ,447.0470K
43.1 ,448.4190K
43.2 ,449.4960K
43.3 ,450.7570K
43.4 ,451.9880K
43.5 ,453.4020K
43.6 ,454.6310K
43.7 ,455.5880K
43.8 ,456.9340K
43.9 ,458.1710K
44.0 ,459.6880K
44.1 ,461.0460K
44.2 ,462.3530K
44.3 ,463.9250K
44.4 ,465.1080K
44.5 ,466.8010K
44.6 ,467.9730K
44.7 ,469.3190K
44.8 ,471.4900K
44.9 ,472.6100K
45.0 ,474.1470K
45.1 ,475.7190K
45.2 ,477.0610K
45.3 ,478.8910K
45.4 ,480.2570K
45.5 ,481.6040K
45.6 ,483.4290K
45.7 ,484.9040K
45.8 ,486.5310K
45.9 ,487.8730K
