L_adjusted_mH C_adjusted_nF
0.0008579574748873711 -5.321503003447056e-05
0.0011913635060191155 -3.599301298468113e-05
0.0011706210896372795 -5.334075858204365e-05
0.001240071676671505 -6.186189447848796e-05
0.0012056313678622246 -8.050697242228984e-05
0.0011286743208765984 0.00010062316114695073
0.000998624436557293 1.9668877671074867e-05
0.0012905568107962609 -0.0002471392074724913
0.0012226931974291802 -0.00039595803563802245
0.0012333177253603935 -0.00014242688511817455
0.0013888262435793877 -0.00010013459568231105
0.0007667325660586357 0.00016221897358686924
0.0008041307553648949 9.282892251999379e-05
0.000945162795484066 0.00011859209890158177
0.0012175932750105858 9.657283926994801e-05
0.0012340329810976982 0.00016759084219725132
0.0011039402559399605 2.6355773756814003e-05
0.0016201481446623802 -0.00020004315619676113
-0.0018682006523013115 0.0002653964763382196
-0.001975926734507084 0.0004481145148971796
-0.0018436025604605675 0.000623545885632348
0.0011084757968783379 -5.308324789016247e-05
0.0013722766414284706 0.00011644959131867886
0.0013189342096447945 -9.869414766716957e-06
0.0013319242969155312 -4.874731799054146e-06
0.001588313676416874 7.472277233910561e-06
0.0010785039737820626 -9.707799499242305e-05
0.000988873489201069 -0.00014775055778532028
0.0014242733120918274 0.00048716766441853044
0.0008363880440592766 -0.0009780091498172163
0.0010178450718522072 -0.0003707538856318474
0.0011771170645952225 -0.00012197853383927345
0.0011770472154021263 0.00010638129579515458
0.0011145768910646439 5.8992809230995175e-05
0.001118682160973549 -2.2686276038575172e-05
0.00112164656072855 -8.960366566984653e-05
0.0011267269253730774 -0.00018429635410516262
0.0012177590504288674 -0.00018580486384539604
0.0018020345121622086 0.0001657158570239067
0.0028406230956315994 0.0010107967970767737
0.0034027926847338677 0.0016298264233270408
